,date,open,high,low,close,volume
406,2020-12-18,668.90,695.00,628.70,695.00,691801.0
407,2020-12-21,666.24,668.50,646.07,649.86,349060.0
408,2020-12-22,647.90,649.88,614.23,640.34,329835.0
409,2020-12-23,632.36,651.50,622.57,645.98,214191.0
410,2020-12-24,642.99,666.09,641.00,661.77,147987.0
411,2020-12-28,674.42,681.40,660.80,663.69,201058.0
412,2020-12-29,661.02,669.90,655.00,665.99,138792.0
413,2020-12-30,672.11,696.60,668.36,694.78,284908.0
414,2020-12-31,699.93,718.72,691.12,705.67,331734.0
415,2021-01-04,719.50,744.49,717.18,729.77,303610.0
416,2021-01-05,723.66,740.84,719.20,735.11,184831.0
417,2021-01-06,757.99,774.00,749.50,755.98,284913.0
418,2021-01-07,778.00,816.99,775.20,816.04,314167.0
419,2021-01-08,856.00,884.49,838.39,880.02,469308.0
420,2021-01-11,849.65,854.43,803.62,811.19,358254.0
421,2021-01-12,831.00,868.00,827.34,849.44,292635.0
422,2021-01-13,852.41,860.47,832.00,854.41,203241.0
423,2021-01-14,843.49,863.00,838.75,845.00,199753.0
424,2021-01-15,852.00,859.90,819.10,826.16,241984.0
425,2021-01-19,837.85,850.00,833.00,844.55,143576.0
426,2021-01-20,858.74,859.51,837.28,850.45,144993.0
427,2021-01-21,854.51,855.72,841.42,844.99,111228.0
428,2021-01-22,834.15,848.00,828.62,846.64,105092.0
429,2021-01-25,855.04,900.40,838.82,880.80,236356.0
430,2021-01-26,891.38,895.90,871.60,883.09,138747.0
431,2021-01-27,870.72,891.51,858.66,864.16,115833.0
432,2021-01-28,819.64,848.00,801.00,835.43,130702.0
433,2021-01-29,830.00,842.41,780.10,793.53,185640.0
434,2021-02-01,813.64,842.00,795.56,839.81,137198.0
435,2021-02-02,845.00,880.22,842.20,872.79,132881.0
436,2021-02-03,877.27,878.08,853.06,854.69,101884.0
437,2021-02-04,854.55,856.50,833.42,849.99,89778.0
438,2021-02-05,845.00,864.77,838.97,852.23,104192.0
439,2021-02-08,869.66,877.77,854.75,863.42,106290.0
440,2021-02-09,855.15,859.80,842.00,849.46,80411.0
441,2021-02-10,843.15,844.82,800.02,804.82,201924.0
442,2021-02-11,812.44,829.88,801.79,811.66,110941.0
443,2021-02-12,801.26,817.33,785.33,816.12,125040.0
444,2021-02-16,818.01,821.00,792.44,796.22,107564.0
445,2021-02-17,779.00,799.84,762.01,798.15,140883.0
446,2021-02-18,780.75,794.69,776.49,787.38,101364.0
447,2021-02-19,795.00,796.79,777.37,781.30,101591.0
448,2021-02-22,762.65,768.50,710.20,714.50,198605.0
449,2021-02-23,661.85,713.61,619.00,698.84,371874.0
450,2021-02-24,711.35,745.00,694.17,742.02,214449.0
451,2021-02-25,725.99,737.21,670.58,682.22,215115.0
452,2021-02-26,699.82,706.70,659.51,675.50,217551.0
453,2021-03-01,689.68,719.00,685.05,718.43,149027.0
454,2021-03-02,717.88,721.11,685.00,686.44,124834.0
455,2021-03-03,687.38,700.70,651.70,653.20,160417.0
456,2021-03-04,655.38,668.45,600.00,621.44,386205.0
